cond,split,regime,n,truncated_pct,reasoning_en_pct,emitted_pct,ALERT
distill_sft,abc,answer_only,4710,0.0,0.0,1.0,
distill_sft,abc,reasoning,4710,0.004,0.0,0.996,
distill_sft,hard,answer_only,2020,0.0,0.0,1.0,
distill_sft,hard,reasoning,2020,0.0035,0.0,0.996,
distill_sft_a0.1,abc,answer_only,4710,0.0,0.0,1.0,
distill_sft_a0.1,abc,reasoning,4710,0.004,0.0,0.9951,
distill_sft_a0.1,hard,answer_only,2020,0.0,0.0,1.0,
distill_sft_a0.1,hard,reasoning,2020,0.001,0.0,0.999,
distill_sft_a0.3,abc,answer_only,4710,0.0,0.0,1.0,
distill_sft_a0.3,abc,reasoning,4710,0.0028,0.0,0.997,
distill_sft_a0.3,hard,answer_only,2020,0.0,0.0,1.0,
distill_sft_a0.3,hard,reasoning,2020,0.001,0.0,0.999,
pure_sft,abc,answer_only,4710,0.0,0.0,1.0,
pure_sft,hard,answer_only,2020,0.0,0.0,1.0,
step_by_step,abc,answer_only,4710,0.0,0.0,1.0,
step_by_step,abc,reasoning,4710,0.003,0.0,0.9851,
step_by_step,hard,answer_only,2020,0.0,0.0,1.0,
step_by_step,hard,reasoning,2020,0.0015,0.0,0.9851,
step_by_step_a0.1,abc,answer_only,4710,0.0,0.0,1.0,
step_by_step_a0.1,abc,reasoning,4710,0.0023,0.0,0.966,
step_by_step_a0.1,hard,answer_only,2020,0.0,0.0,1.0,
step_by_step_a0.1,hard,reasoning,2020,0.0035,0.0,0.9569,
step_by_step_a0.3,abc,answer_only,4710,0.0,0.0,1.0,
step_by_step_a0.3,abc,reasoning,4710,0.0021,0.0,0.9633,
step_by_step_a0.3,hard,answer_only,2020,0.0,0.0,1.0,
step_by_step_a0.3,hard,reasoning,2020,0.0045,0.0,0.9569,
