split,cond,regime,vs,subset,n_seeds,delta_questions_mean,delta_questions_min,delta_questions_max
abc,distill_sft,answer_only,pure_sft/answer_only,A,10,4.5,-5,13
abc,distill_sft,answer_only,pure_sft/answer_only,B,10,-4.5,-11,5
abc,distill_sft,answer_only,pure_sft/answer_only,C,10,3.2,-1,6
abc,distill_sft,reasoning,pure_sft/answer_only,A,10,-26.2,-37,-14
abc,distill_sft,reasoning,pure_sft/answer_only,B,10,17.9,9,25
abc,distill_sft,reasoning,pure_sft/answer_only,C,10,-7.4,-15,-2
abc,distill_sft_a0.1,answer_only,pure_sft/answer_only,A,10,2.3,-5,7
abc,distill_sft_a0.1,answer_only,pure_sft/answer_only,B,10,-1.4,-11,7
abc,distill_sft_a0.1,answer_only,pure_sft/answer_only,C,10,3.3,-4,10
abc,distill_sft_a0.1,reasoning,pure_sft/answer_only,A,10,-26.7,-37,-18
abc,distill_sft_a0.1,reasoning,pure_sft/answer_only,B,10,15.8,9,22
abc,distill_sft_a0.1,reasoning,pure_sft/answer_only,C,10,-6.6,-13,-1
abc,distill_sft_a0.3,answer_only,pure_sft/answer_only,A,10,3.1,-6,7
abc,distill_sft_a0.3,answer_only,pure_sft/answer_only,B,10,-3.2,-12,3
abc,distill_sft_a0.3,answer_only,pure_sft/answer_only,C,10,3.2,-1,7
abc,distill_sft_a0.3,reasoning,pure_sft/answer_only,A,10,-27.7,-38,-18
abc,distill_sft_a0.3,reasoning,pure_sft/answer_only,B,10,14.2,6,23
abc,distill_sft_a0.3,reasoning,pure_sft/answer_only,C,10,-4.1,-12,0
abc,step_by_step,answer_only,pure_sft/answer_only,A,10,2.3,-7,12
abc,step_by_step,answer_only,pure_sft/answer_only,B,10,0.6,-7,7
abc,step_by_step,answer_only,pure_sft/answer_only,C,10,2.6,0,7
abc,step_by_step,reasoning,pure_sft/answer_only,A,10,-28.0,-37,-22
abc,step_by_step,reasoning,pure_sft/answer_only,B,10,14.8,4,22
abc,step_by_step,reasoning,pure_sft/answer_only,C,10,-7.4,-12,0
abc,step_by_step_a0.1,answer_only,pure_sft/answer_only,A,10,1.1,-4,9
abc,step_by_step_a0.1,answer_only,pure_sft/answer_only,B,10,3.3,-6,9
abc,step_by_step_a0.1,answer_only,pure_sft/answer_only,C,10,1.6,-1,5
abc,step_by_step_a0.1,reasoning,pure_sft/answer_only,A,10,-28.3,-39,-14
abc,step_by_step_a0.1,reasoning,pure_sft/answer_only,B,10,13.9,7,23
abc,step_by_step_a0.1,reasoning,pure_sft/answer_only,C,10,-6.3,-15,-1
abc,step_by_step_a0.3,answer_only,pure_sft/answer_only,A,10,3.0,-2,11
abc,step_by_step_a0.3,answer_only,pure_sft/answer_only,B,10,3.7,-5,11
abc,step_by_step_a0.3,answer_only,pure_sft/answer_only,C,10,1.7,-3,5
abc,step_by_step_a0.3,reasoning,pure_sft/answer_only,A,10,-33.6,-43,-25
abc,step_by_step_a0.3,reasoning,pure_sft/answer_only,B,10,12.2,5,19
abc,step_by_step_a0.3,reasoning,pure_sft/answer_only,C,10,-7.6,-14,-3
hard,distill_sft,answer_only,pure_sft/answer_only,H,10,-7.3,-16,3
hard,distill_sft,reasoning,pure_sft/answer_only,H,10,9.3,-1,18
hard,distill_sft_a0.1,answer_only,pure_sft/answer_only,H,10,-1.6,-15,5
hard,distill_sft_a0.1,reasoning,pure_sft/answer_only,H,10,10.0,6,16
hard,distill_sft_a0.3,answer_only,pure_sft/answer_only,H,10,-2.1,-17,2
hard,distill_sft_a0.3,reasoning,pure_sft/answer_only,H,10,6.6,-4,15
hard,step_by_step,answer_only,pure_sft/answer_only,H,10,0.6,-13,9
hard,step_by_step,reasoning,pure_sft/answer_only,H,10,8.1,-2,17
hard,step_by_step_a0.1,answer_only,pure_sft/answer_only,H,10,5.3,-6,13
hard,step_by_step_a0.1,reasoning,pure_sft/answer_only,H,10,5.9,-1,15
hard,step_by_step_a0.3,answer_only,pure_sft/answer_only,H,10,3.5,-6,13
hard,step_by_step_a0.3,reasoning,pure_sft/answer_only,H,10,7.1,0,14
